Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
1.010381,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.021639,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.033009,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.044293,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.055645,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.067012,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.078447,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.089985,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.105427,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.112252,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.123509,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.134557,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.145782,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.156994,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.168193,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.179596,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.190692,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.202051,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.213179,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.224478,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.235287,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.246473,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.266183,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.269975,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.2767,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.28785,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.298918,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.310158,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.321213,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.332535,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.343428,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.354607,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.3659,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.377295,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.387837,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.399208,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.415637,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.421265,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.432358,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.443683,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.454717,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.465845,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.476791,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.487874,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.499006,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.510196,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.521282,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.532596,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.543687,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.554615,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.569914,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.576677,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.587937,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.599169,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.609945,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.620987,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.632252,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.64329,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.654382,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.66575,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.677169,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.68839,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.699736,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.711262,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.72726,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.733593,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.745116,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.75615,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.767324,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.778784,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.789822,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.801156,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.81246,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.823544,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.834669,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.845755,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.856933,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.868144,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.887636,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.89042,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.89884,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.909845,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.920926,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.932062,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.943277,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.954298,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.965397,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.976522,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.987771,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.998811,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.009841,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.02103,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.036994,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.043072,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.054334,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.065477,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.076616,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.087537,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.099806,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.109864,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.120881,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.131892,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.143177,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.154237,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.165293,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.176551,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.193041,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.198728,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.209689,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.22107,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.23185,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.243033,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.254301,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.265351,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.276379,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.287639,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.29918,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.310581,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.321853,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.333269,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.348948,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.355667,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.367246,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.378248,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.389139,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.400343,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.411413,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.422581,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.433665,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.444829,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.455765,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.467025,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.478056,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.489206,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.509913,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.513151,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.520644,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.532113,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.543053,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.554214,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.565181,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.57618,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.587613,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.598357,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.609694,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.621062,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.631741,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.642989,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.65831,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.665064,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.676379,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.687368,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.698397,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.709535,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.720626,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.73175,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.742794,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.754018,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.764987,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.776239,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.787227,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.798551,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.814376,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.820712,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.831706,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.842664,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.863915,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.866994,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.876176,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.887184,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.898419,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.909352,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.920493,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.931572,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.942753,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.954008,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.96948,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.976106,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.987236,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
2.998382,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
