Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
0.9992421,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.01035,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.021588,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.032706,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.043709,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.055161,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.066124,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.077366,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.088219,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.099189,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.110303,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.125963,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.13285,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.14393,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.154869,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.166094,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.176896,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.188964,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.199151,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.210517,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.221459,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.232654,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.243649,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.255026,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.265814,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.281786,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.288066,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.299388,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.310204,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.321421,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.332779,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.343693,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.354665,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.366199,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.382648,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.388767,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.403962,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.41191,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.423554,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.443376,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
1.459729,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
