Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.0112406,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0268944,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0335416,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0445088,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0557773,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.066565,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0872412,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0907919,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1001214,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.111037,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.122069,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1334122,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1442795,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1554445,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1665916,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1801981,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.188978,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1997519,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.210953,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2221082,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2332524,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.244315,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2556513,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2666025,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2775933,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2886149,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2997435,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3108728,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3221713,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3361255,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3545883,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.358184,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3664641,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3776577,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.388514,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.399776,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4109124,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4218538,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4331675,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4442396,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4552173,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4664426,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.477623,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4927694,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4997694,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5110672,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
